#DA_ID	Random_Taxon	Shortest_Taxon	Longest_Taxon
da00003	pfam21_P06238_A2MG_RAT	pfam21_Q6IE37_Q6IE37_HUMAN	up_Q8T398_Q8T398_CIOIN
da00004	up_Q8NQK1_Q8NQK1_CORGL	up_Q9ZIC9_Q9ZIC9_LISMO	up_Q5KH49_Q5KH49_CRYNE
da00005	up_Q8W1C1_Q8W1C1_BRAJU	up_Q9STI4_Q9STI4_ARATH	up_Q4P912_Q4P912_USTMA
da00007	up_Q6Z6U9_Q6Z6U9_ORYSJ	pfam21_Q9XW61_Q9XW61_CAEEL	pfam21_Q22VK2_Q22VK2_TETTH
da00008	up_Q4JFF1_Q4JFF1_STRVR	pfam21_Q3MVF2_Q3MVF2_9DELT	pfam21_Q3X316_Q3X316_9ACTN
da00009	up_Q1N5Y1_Q1N5Y1_9GAMM	up_Q3YJ39_Q3YJ39_HAEPR	pfam21_Q7CVQ5_Q7CVQ5_AGRT5
da00010	up_Q31GX6_Q31GX6_THICR	up_Q97Y20_Q97Y20_SULSO	up_Q4JWD8_Q4JWD8_CORJK
da00014	up_Q39TR9_Q39TR9_GEOMG	up_Q3YJN2_Q3YJN2_9RHOB	pfam21_Q4BAZ6_Q4BAZ6_BURVI
da00016	up_Q8XHF4_Q8XHF4_CLOPE	pfam21_Q51C70_Q51C70_ENTHI	up_Q1RS84_Q1RS84_CHLRE
da00019	up_Q8X0Y8_Q8X0Y8_METAN	up_Q5XP04_Q5XP04_9ACTO	pfam21_Q33TB2_Q33TB2_9GAMM
da00022	up_Q7SXT5_Q7SXT5_DANRE	up_Q9X5D3_Q9X5D3_CORGL	up_Q7RR79_Q7RR79_PLAYO
da00023	up_Q87SD0_Q87SD0_VIBPA	pfam21_Q9SHF9_Q9SHF9_ARATH	up_Q6ZD10_Q6ZD10_ORYSJ
da00025	up_Q2RJK8_Q2RJK8_MOOTA	up_Q9AJ88_Q9AJ88_PSEFL	up_Q5KBM8_Q5KBM8_CRYNE
da00026	up_Q92452_GOX_TALFL	up_Q1PDK5_Q1PDK5_ARATH	pfam21_Q5K7Y0_Q5K7Y0_CRYNE
da00027	up_Q5P3K0_ALR_AZOSE	up_Q9F9L1_ALR_PISSA	up_Q6WRY3_Q6WRY3_ENTFA
da00030	up_Q3TX27_Q3TX27_MOUSE	up_Q3S2W3_Q3S2W3_MYTED	up_Q3UQZ7_Q3UQZ7_MOUSE
